Fecha/Hora Entrada,Símbolo,Lado,Precio Entrada,Precio Salida,Fecha/Hora Salida,Ganancia/Pérdida ($),G/P (%),Razón Salida,Tamaño Posición ($),Balance Acumulado
2025-07-13 16:00,BTCUSDT,long,118466.10,115979.60,2025-07-15 14:00,$-0.86,-2.1%,stop_loss,$40.00,$199.14
2025-07-10 07:00,ETHUSDT,long,2789.54,3003.90,2025-07-11 05:00,$3.04,7.7%,take_profit,$39.83,$202.18
2025-07-11 05:00,ETHUSDT,long,3003.90,2926.98,2025-07-12 14:00,$-1.06,-2.6%,stop_loss,$40.44,$201.12
2025-07-15 23:00,ETHUSDT,long,3137.62,3382.52,2025-07-16 19:00,$3.12,7.8%,take_profit,$40.22,$204.24
2025-07-17 06:00,ETHUSDT,long,3441.11,3710.15,2025-07-20 08:00,$3.17,7.8%,take_profit,$40.85,$207.41
2025-07-20 22:00,ETHUSDT,long,3746.15,3649.39,2025-07-22 08:00,$-1.09,-2.6%,stop_loss,$41.48,$206.32
2025-07-26 11:00,ETHUSDT,long,3738.44,3607.81,2025-08-01 08:00,$-1.46,-3.5%,stop_loss,$41.26,$204.86
2025-06-22 14:00,SOLUSDT,long,129.81,144.80,2025-06-23 22:00,$4.71,11.5%,take_profit,$40.97,$209.57
2025-07-16 16:00,SOLUSDT,long,172.53,188.31,2025-07-21 05:00,$3.81,9.1%,take_profit,$41.91,$213.38
2025-07-21 05:00,SOLUSDT,long,188.31,205.78,2025-07-22 23:00,$3.94,9.3%,take_profit,$42.68,$217.32
2025-06-21 14:00,ADAUSDT,long,0.58,0.55,2025-06-21 21:00,$-1.88,-4.3%,stop_loss,$43.46,$215.43
2025-06-22 00:00,ADAUSDT,long,0.56,0.54,2025-06-22 09:00,$-1.67,-3.8%,stop_loss,$43.09,$213.76
2025-06-22 09:00,ADAUSDT,long,0.54,0.52,2025-06-22 15:00,$-1.31,-3.0%,stop_loss,$42.75,$212.45
2025-07-01 12:00,ADAUSDT,long,0.55,0.60,2025-07-03 06:00,$4.01,9.5%,take_profit,$42.49,$216.46
2025-07-20 22:00,ADAUSDT,long,0.86,0.82,2025-07-23 13:00,$-2.01,-4.6%,stop_loss,$43.29,$214.45
2025-07-27 22:00,ADAUSDT,long,0.83,0.80,2025-07-28 14:00,$-1.52,-3.5%,stop_loss,$42.89,$212.93
2025-06-17 08:00,TIAUSDT,long,1.68,1.61,2025-06-17 16:00,$-1.93,-4.5%,stop_loss,$42.59,$211.00
2025-06-21 20:00,TIAUSDT,long,1.52,1.46,2025-06-21 21:00,$-1.81,-4.2%,stop_loss,$42.20,$209.19
2025-06-21 21:00,TIAUSDT,long,1.46,1.41,2025-06-22 03:00,$-1.34,-3.2%,stop_loss,$41.84,$207.85
2025-06-22 03:00,TIAUSDT,long,1.41,1.36,2025-06-22 16:00,$-1.37,-3.3%,stop_loss,$41.57,$206.47
2025-06-22 20:00,TIAUSDT,long,1.36,1.51,2025-06-23 20:00,$4.45,10.8%,take_profit,$41.29,$210.93
2025-06-27 17:00,TIAUSDT,long,1.42,1.55,2025-06-29 22:00,$3.87,9.2%,take_profit,$42.19,$214.80
2025-07-24 14:00,TIAUSDT,long,1.88,1.82,2025-07-25 00:00,$-1.41,-3.2%,stop_loss,$42.96,$213.39
2025-07-20 03:00,BNBUSDT,long,743.40,800.73,2025-07-23 00:00,$3.27,7.7%,take_profit,$42.68,$216.66
2025-07-27 21:00,BNBUSDT,long,839.11,817.53,2025-07-29 02:00,$-1.14,-2.6%,stop_loss,$43.33,$215.52
2025-06-21 13:00,DOGEUSDT,long,0.16,0.15,2025-06-21 21:00,$-2.14,-4.9%,stop_loss,$43.10,$213.38
2025-06-22 00:00,DOGEUSDT,long,0.16,0.15,2025-06-22 13:00,$-2.18,-5.1%,stop_loss,$42.68,$211.20
2025-06-22 13:00,DOGEUSDT,long,0.15,0.16,2025-06-23 22:00,$4.40,10.5%,take_profit,$42.24,$215.60
2025-07-17 13:00,DOGEUSDT,long,0.21,0.24,2025-07-18 03:00,$4.55,10.6%,take_profit,$43.12,$220.16
2025-07-18 05:00,DOGEUSDT,long,0.24,0.24,2025-07-18 15:00,$-1.36,-3.0%,stop_loss,$44.03,$218.80
2025-07-19 04:00,DOGEUSDT,long,0.25,0.24,2025-07-19 11:00,$-1.65,-3.7%,stop_loss,$43.76,$217.15
2025-07-20 16:00,DOGEUSDT,long,0.27,0.26,2025-07-23 10:00,$-1.39,-3.2%,stop_loss,$43.43,$215.75
